player_id,full_name,first_name,last_name,season,shot_zone_basic,shot_zone_area,fga,fgm,fg_pct,league_fga,league_fgm,league_fg_pct,pct_diff
1630567,Scottie Barnes,Scottie,Barnes,2023-24,In The Paint (Non-RA),Center(C),215,88,0.4093,6614,3028,0.4578,-0.0485
1630567,Scottie Barnes,Scottie,Barnes,2023-24,In The Paint (Non-RA),Left Side(L),10,1,0.1,508,239,0.4705,-0.3705
1630567,Scottie Barnes,Scottie,Barnes,2023-24,In The Paint (Non-RA),Right Side(R),11,5,0.4545,507,225,0.4438,0.0107
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Left Corner 3,Left Side(L),25,6,0.24,1020,403,0.3951,-0.1551
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Mid-Range,Center(C),30,12,0.4,1403,647,0.4612,-0.0612
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Mid-Range,Left Side Center(LC),15,8,0.5333,861,380,0.4413,0.092
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Mid-Range,Left Side(L),33,8,0.2424,1539,668,0.434,-0.1916
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Mid-Range,Right Side Center(RC),13,6,0.4615,935,389,0.416,0.0455
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Mid-Range,Right Side(R),17,7,0.4118,1524,649,0.4259,-0.0141
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Restricted Area,Center(C),301,210,0.6977,10307,7128,0.6916,0.0061
1630567,Scottie Barnes,Scottie,Barnes,2023-24,Right Corner 3,Right Side(R),23,10,0.4348,957,403,0.4211,0.0137
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Above the Break 3,Center(C),61,19,0.3115,2263,800,0.3535,-0.042
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Above the Break 3,Left Side Center(LC),102,33,0.3235,3059,1095,0.358,-0.0345
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Above the Break 3,Right Side Center(RC),109,28,0.2569,2983,1082,0.3627,-0.1058
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,In The Paint (Non-RA),Center(C),283,124,0.4382,5208,2296,0.4409,-0.0027
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,In The Paint (Non-RA),Left Side(L),26,12,0.4615,379,185,0.4881,-0.0266
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,In The Paint (Non-RA),Right Side(R),12,5,0.4167,384,151,0.3932,0.0235
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Left Corner 3,Left Side(L),14,4,0.2857,979,384,0.3922,-0.1065
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Mid-Range,Center(C),20,9,0.45,1048,479,0.4571,-0.0071
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Mid-Range,Left Side Center(LC),16,8,0.5,621,253,0.4074,0.0926
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,2021-22,Mid-Range,Left Side(L),41,19,0.4634,1331,531,0.3989,0.0645
